,Term,class,latest_course,enjoy,ratings,last_semester,ID
0,Spring 2021,2,Algebra 2,When math can be solved or understood by logic,6,4.0,66810.0
1,Spring 2021,1,MSC-142 Intro to statistics,Solving the problem,7,1.0,37786.0
2,Spring 2021,2,calculus in highschool,"I like to learn, however math does not like me.",5,4.0,98626.0
3,Spring 2021,1,physics,I like applied math,8,1.0,52882.0
4,Spring 2021,3,Intro Statistics,I enjoy algebra. I enjoy when I understand methods for different equations. Mostly the teachers I have had in the past have had us do a lot of practice which I find to be the best to help me learn,6,1.0,50542.0
5,Spring 2021,2,Calculus 2 in high school,I enjoy algebra,7,3.0,
6,Spring 2021,3,Computer Science 1.,I like how there are multiple ways to solve the same problem.,8,,41981.0
7,Spring 2021,1,pre calculus,figuring out the problem,7,1.0,65004.0
8,Spring 2021,1,"I’m assuming a stats course or a computer science course don’t count, so my senior year of high school with Calc AB",Being able to learn new and interesting math that seems valuable.,8,2.0,77328.0
9,Spring 2021,1,Statistics,,7,2.0,58850.0
10,Spring 2021,1,Micro Econ,Visuals and real world examples,6,1.0,
11,Spring 2021,2,MCS-121,Real world application,5,1.0,80334.0
12,Spring 2021,1,Calculus I,I think doing math is somewhat satisfying when I'm familiar with what I'm doing,8,1.0,30193.0
13,Spring 2021,1,College Algebra in High School,I always saw mathematical problems as slightly more difficult puzzles and after solving them I like the feeling of getting the answers correct.,7,2.0,50867.0
14,Spring 2021,1,AP Calculus AB,They all build upon each other.,8,7.0,
15,Spring 2021,1,12th Grade,I found,8,,53854.0
16,Spring 2021,1,AP Calculus AB,I like learning rules to apply tp a certain type of problem because having a pattern helps me understand the result better.,8,,40230.0
17,Spring 2021,1,Ap calc ab,I think it's fun to do long equations that are simple,8,3.0,69434.0
18,Spring 2021,1,Pre-Calc,Trig,6,7.0,96596.0
19,Spring 2021,2,Pre-Calc,Real life application of math,6,4.0,17830.0
20,Spring 2021,2,Calculus 100,"Interactive Math games with the class, example: Jeopardy",6,3.0,74608.0
21,Spring 2021,1,pre calc,there's a right answer and not necessarily based on opinions,6,1.0,67424.0
22,Spring 2021,2,precalc,how math can be found in nature,7,6.0,15531.0
23,Spring 2021,3,Stats,Being able to work problems with others and see how you can work a problem in multiple ways,6,3.0,65544.0
24,Spring 2021,3,Pre-Calculus,Figuring out how to solve problems and being able to apply the same concepts to solve similar problems.,6,8.0,46912.0
25,Spring 2021,1,Calculus,Derivatives,8,2.0,42371.0
26,Spring 2021,1,pre-calculus in my junior year of high school,the success of finally being able to work through a problem after struggling with a concept,6,3.0,60320.0
27,Spring 2021,1,Elementary Statistics,"It’s almost always exact, and there’s always a right answer.",8,2.0,22902.0
28,Spring 2021,1,"MCS-177 if that counts. Otherwise, I took calculus my senior year in high school",I like when things make patterns. I find it interesting just how the patterns present themselves,9,1.0,16330.0
29,Spring 2021,1,College Algebra,learning how to use new formulas,6,,44913.0
30,Spring 2021,1,Calc 1 in senior year of highschool 2017,i love to solve problems and when i am able to apply a mathematic problem to real world problem i love that.,2,8.0,36834.0
31,Fall 2021,2,Statistics for Economics,I love learning about probabilities.,6,1.0,
32,Fall 2021,2,Pre-Calculus (Junior year of high school),"The professor always determines how much enjoyment I get out of a mathematics class, and I've had some very fun/helpful ones!",7,5.0,87728.0
33,Fall 2021,2,Senior year of high school,"Understanding the concepts, and using my understanding to get the correct answer",2,2.0,93871.0
34,Fall 2021,3,Statistics,Equations,7,1.0,
35,Fall 2021,3,Calculus during my senior year of high school,Going over problems that the class seemed to struggle with.,8,4.0,82536.0
36,Fall 2021,2,I have taken Calc AB and BC in junior and senior year of high school.,How often Calculus can be applied in life.,8,2.0,14313.0
37,Fall 2021,4,research and statistics,the patterns that are present in problems,7,1.0,80450.0
38,Fall 2021,3,Discrete Calculus,Your teaching style,9,1.0,68864.0
39,Fall 2021,1,Calculus I,Problem Solving,7,,
40,Fall 2021,2,College Algebra 2,"I enjoy seeing the real life applications, for example I loved Physics due to the lab and application of the math.",10,4.0,30574.0
41,Fall 2021,2,Probability and statistics,,6,3.0,27689.0
42,Fall 2021,1,"I was starting Calculus 1 in a YouTube Video, but didn’t finish",Being able to mesure the instantaneous speed of an object,9,3.0,
43,Fall 2021,2,pre-calc,challenging myself to figure out each and every problem,7,3.0,72329.0
44,Fall 2021,1,Pre-Calculus Honors,Finding quicker ways to get to a correct solution,8,,
45,Fall 2021,2,calc last semester,when you finally figure out how to solve an equation that's been giving you a lot of trouble,5,,60320.0
46,Fall 2021,2,Calculus BC,Working with groups to solve real-life problems has been something I've found enjoyable in the past.,7,2.0,
47,Fall 2021,2,Statistics,"Tan, cos, and sin, were pretty interesting to me.",5,3.0,80427.0
48,Fall 2021,1,Calc 1,,7,,48825.0
49,Fall 2021,1,Introduction to Statistics,Trig,10,,93221.0
50,Fall 2021,1,Introduction to Statistics,Trig,10,,93221.0
51,Fall 2021,4,stats,when i am able to figure out the question,6,2.0,
52,Fall 2021,1,Calculus 1,I love the satisfaction of finally solving a hard problem.,10,2.0,18744.0
53,Fall 2021,1,algebra,Story problems are interesting.,5,,
54,Fall 2021,3,High School Pre Calc,Really makes you think to a level you might not know you could reach,4,,84281.0
55,Fall 2021,3,Statistics for Econ/Mgmt,Independent Projects,7,3.0,93335.0
56,Fall 2021,1,Calc Concepts,I like learning new concepts in math.,8,1.0,31846.0
57,Fall 2021,1,Pre-calculus,Learning how to solve problems and concepts that did not make sense before.,8,1.0,75538.0
58,Fall 2021,3,Discrete Calculus,Your Teaching Style,9,,68864.0
59,Fall 2021,1,Calc BC,nothing specific coming to mind,9,1.0,88774.0
60,Fall 2021,1,Precal,,4,,
61,Fall 2021,1,cal 1,trigonometry,7,3.0,80726.0
62,Fall 2021,1,AP calculus AB,I would say algebra was probably the most enjoyable math class I have taken,10,,12461.0
63,Fall 2021,1,Advanced (~AP) Statistics,"geometry bc it just clicks for me, and applying math to analyze the real word",8,,69983.0
64,Spring 2021,1,Pre Calculus,The way that my previous teachers have taught the class,6,1.0,
65,Spring 2021,3,Intro to Statistics,I really enjoyed how I was able to see the applications of mathematics in both every day life and in my career,4,3.0,44661.0
66,Spring 2021,1,Calculus I,,7,,62252.0
67,Spring 2021,1,Calculus (high school),"My teachers, I have never been a big fan of math but the teachers made it more enjoyable.",9,,14772.0
68,Spring 2021,1,"2 years ago in a college in Sweden right after I graduated highschool, Mathematics 3C and 4, included trigonometry for example.",I simply enjoy solving problems.,6,5.0,38687.0
69,Spring 2021,1,Pre calculus,We would have review days to ask questions,6,1.0,68658.0
70,Spring 2021,1,Pre-Calculus,I enjoy plugging in formulas into equations and solving for the values of x and y,8,1.0,26815.0
71,Spring 2021,1,elementary statistics or pre calc in high school,there’s always a right answer,7,1.0,75683.0
72,Spring 2021,1,AP calculus,Word problems relating to real world occurrences,10,1.0,13358.0
73,Spring 2021,4,"Computer Science I, last hard mathematics course I took was probably AP Stats in high school? I got to pre-calc in high school but nothing farther than that.",I like real world applicability! I think it's nice to be able to answer the question: when will we ever use this in real life? by applying knowledge that we've learned in class to real world situations or instances for problems or projects.,5,1.0,
74,Spring 2021,1,"Math Studies, last year",Getting the right answer,7,2.0,
75,Spring 2021,4,,I enjoy problem sets that allow us to practice what we've learned in class,10,3.0,97692.0
76,Spring 2021,1,Calculus,Doing Review Packets before Tests.,7,2.0,88009.0
77,Spring 2021,1,elementary statistics,how math is used in the real world,8,1.0,62783.0
78,Spring 2021,1,Pre-Calc (senior year),I enjoy learning about new concepts,8,1.0,83943.0
79,Spring 2021,4,Stats freshman year,Not a ton. By far my worst field,4,8.0,
80,Spring 2021,1,IB Analysis and Approaches SL 2,I enjoyed the Unit circle unit in math,7,,
81,Spring 2021,2,Calculus Senior year of high school,The abilities of the calculator and how useful it is for some problems.,8,3.0,36585.0
82,Spring 2021,1,Intro to Statistics,Probabilities,9,1.0,29436.0
83,Spring 2021,1,142 intro to stats,I found it enjoyable that it I could do it whenever I had time as there was no class time just videos.,8,,31085.0
84,Spring 2021,1,Highschool Calculus,Learning new topics,7,3.0,96431.0
85,Spring 2021,1,Statistics,Completing problems correctly,8,3.0,
86,Spring 2021,1,AP Statistics,It is satisfying to get answers right,7,2.0,77508.0
87,Spring 2021,2,Stats,In math I like the fact that there is (usually) a specific correct answer & less open ended questions,8,2.0,57894.0
88,Spring 2021,1,intro to stats,I like when we have review days,7,,
89,Spring 2021,1,Pre-Calculus,I found it satisfying to solve equations using formulas.,9,,38873.0
90,Spring 2021,1,"Pre-Calculus in high school, or Computer Science I last semester",I find it satisfying to solve difficult equations,8,1.0,18832.0
91,Spring 2021,4,algebra 2 in highschool (yikes),I enjoy the (somewhat) linear process to solving a problem,4,8.0,78555.0
92,Spring 2021,1,AP Calc BC highschool,I like physics so I liked knowing the calculus behind the physics.,9,1.0,46516.0
93,Spring 2021,1,AP Calc 1,"Math is everywhere, even in nature.",9,2.0,98539.0
