,ID,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12,week 13,week 14
0,65544,0,1,2,3,1,1,1,3,1,2,4,4,5,
1,77328,0,1,0,3,3,2,2,2,1,2,2,8,10,
2,93221,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3,57894,0,1,1,4,1,2,1,7,1,2,2,2,1,
4,52262,0,2,1,2,7,2,4,1,4,4,1,3,6,20.0
5,27689,2,0,2,2,2,1,4,1,5,6,2,2,15,5.0
6,80427,0,2,1,2,2,2,3,4,2,2,2,6,7,20.0
7,96812,1,1,2,1,1,1,5,2,2,6,0,2,11,11.0
8,13358,0,1,2,2,2,0,1,3,2,2,4,3,3,
9,68658,1,1,3,4,8,0,3,4,2,7,6,4,13,
10,20020,1,1,1,3,2,1,4,2,2,3,2,1,8,2.0
11,32314,1,2,2,1,2,1,2,4,0,2,6,2,5,
12,80450,0,2,1,2,2,1,4,1,2,2,1,2,7,0.0
13,16973,0,1,1,3,1,0,0,0,0,0,0,0,0,0.0
14,53854,0,1,1,3,4,0,2,5,3,1,1,2,8,
15,31846,1,1,2,4,1,2,3,1,3,4,2,3,10,0.0
16,82536,0,2,1,4,2,1,5,1,4,2,1,2,5,5.0
17,60018,0,1,1,2,1,3,0,3,1,2,2,2,9,
18,99444,0,1,2,5,4,3,0,3,1,2,4,5,6,
19,44661,0,1,1,2,3,2,5,2,1,2,6,2,10,
20,72329,3,2,3,3,1,5,4,3,5,6,5,7,11,1.0
21,74894,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,52882,1,1,1,2,4,4,4,3,2,3,9,3,6,
23,93335,0,1,1,3,4,2,4,1,2,2,1,4,6,6.0
24,15531,0,1,2,3,3,4,1,2,2,1,2,3,3,
25,90795,1,1,1,2,2,2,2,2,2,1,2,0,15,37.0
26,12461,1,1,1,2,2,1,4,1,2,2,1,1,3,10.0
27,59566,1,3,2,3,3,3,6,1,2,2,1,1,1,5.0
28,96431,0,1,1,2,1,3,0,4,1,0,5,0,8,
29,87728,3,1,2,3,1,2,2,2,2,2,3,0,9,4.0
30,93871,3,2,3,3,1,2,2,2,3,2,1,3,4,0.0
31,50867,1,4,2,6,1,5,2,3,5,4,3,6,16,
32,48825,0,2,1,2,2,1,2,0,0,0,1,1,3,3.0
33,26815,0,2,2,2,1,2,1,3,5,5,2,4,13,
34,77508,0,1,1,2,1,4,3,3,2,1,8,5,13,
35,88774,0,2,1,2,2,1,3,1,2,2,0,1,5,7.0
36,78555,0,1,1,3,1,3,0,3,2,2,2,3,14,
37,36585,0,3,4,4,3,1,4,1,2,1,1,3,7,
38,98539,0,1,1,1,0,2,1,3,1,2,2,2,7,
39,66810,0,1,1,2,2,2,4,9,3,4,6,6,7,
40,29436,0,1,1,2,1,3,2,4,1,4,5,8,8,
41,68864,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0
42,16144,1,1,3,4,3,2,4,6,4,2,5,5,10,
43,34064,0,2,1,3,2,3,2,3,2,2,1,2,3,
44,75538,0,2,1,1,2,1,5,1,3,2,1,4,8,12.0
45,38687,0,1,4,3,5,3,2,7,2,5,4,7,9,
46,40230,1,0,1,2,2,3,0,2,4,1,2,2,1,
47,58151,0,1,1,2,3,3,0,3,3,3,6,3,15,
48,62252,1,0,2,1,1,2,1,2,3,1,7,4,5,
49,95538,1,4,2,2,1,1,4,2,1,2,2,3,5,0.0
50,18744,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
51,84281,0,2,1,2,3,1,4,1,2,2,1,1,3,4.0
52,69434,0,1,3,2,2,2,0,3,4,2,2,4,1,
53,62783,1,2,0,4,2,1,3,0,1,1,4,5,11,
54,46912,0,1,2,2,4,0,2,4,2,1,3,1,6,
55,98626,0,2,0,2,5,2,6,5,1,2,2,2,18,
56,96596,1,1,2,2,2,2,3,2,3,3,2,2,5,
57,80726,1,1,1,1,2,2,8,0,0,1,0,7,5,12.0
58,69983,1,1,2,1,3,1,4,1,2,2,2,0,3,3.0
59,67424,1,3,1,4,8,1,3,4,1,1,7,3,5,
60,31085,0,1,1,1,2,2,1,3,1,2,2,4,13,
61,50542,0,3,0,3,1,3,0,6,4,5,4,2,11,
62,30574,1,2,1,3,2,1,4,1,2,2,1,1,6,0.0
63,74608,0,1,1,2,4,2,5,3,0,2,4,5,3,
64,44913,0,1,1,2,1,0,1,5,1,1,2,0,4,
65,16240,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,22902,0,1,1,2,1,2,1,3,1,2,2,2,1,
67,57725,1,3,4,4,5,5,3,0,3,6,4,4,6,
68,93570,2,1,5,6,4,2,4,1,3,4,2,1,8,0.0
69,42371,0,1,2,1,4,2,3,2,0,2,3,5,2,
70,19343,1,1,2,2,3,2,2,4,1,2,4,2,4,
71,18832,0,1,1,4,3,2,0,1,0,1,2,1,9,
72,37786,0,1,1,2,1,2,1,2,1,1,3,6,10,
73,97692,0,1,1,2,2,2,0,3,2,1,4,2,5,
74,60320,0,1,0,0,0,0,0,0,0,0,0,0,0,
75,75683,1,2,3,5,4,3,5,7,6,3,3,4,6,
76,17830,1,2,3,2,3,0,3,1,2,2,3,3,7,
77,14772,1,1,1,1,4,2,5,4,3,2,4,8,7,
78,46516,0,3,1,2,1,2,0,2,0,2,2,2,3,
79,36276,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
80,88009,0,1,2,2,4,2,4,8,4,4,5,2,7,
81,16330,1,1,1,1,3,0,3,1,2,1,2,2,5,
82,80334,0,2,1,2,2,0,1,3,2,2,3,0,8,
83,38873,0,1,1,1,0,0,0,7,0,1,1,1,8,
84,36834,0,1,1,2,2,2,1,4,1,1,5,2,6,
85,58850,0,1,1,1,2,3,1,5,3,2,2,8,6,
86,83943,0,1,1,2,4,5,4,6,4,3,2,3,9,
87,31208,3,3,4,8,9,8,3,3,6,5,2,1,7,0.0
88,14313,2,1,1,2,0,5,2,0,4,0,3,0,3,11.0
89,65004,0,3,1,4,4,8,2,3,3,5,4,3,8,
90,47088,0,2,1,4,4,3,2,2,1,3,3,4,0,
91,30193,0,2,2,3,0,2,2,2,1,1,3,5,8,
92,41981,0,1,2,1,2,2,4,3,1,2,4,3,3,
